year	player	age	g	mp	per	ts	3par	ftr	orb	drb	trb	ast	stl	blk	tov	usg	ows	dws	ws	ws_48	obpm	dbpm	bpm	vorp	game_win	mvp_label
1986	Ron Anderson	27	17	207	10.4	0.531	0.014	0.216	2.7	11.2	6.9	5.5	0.2	0	6.9	17.2	0.2	0.1	0.3	0.064	-2.4	-2.5	-4.9	-0.2	29	0
1986	Ennis Whatley	23	8	66	12.4	0.498	0	0.368	3.3	8.4	5.9	26.5	3.6	0	21.4	17.4	0	0.1	0.1	0.049	-2	0.1	-1.9	0	29	0
1986	Rolando Blackman	26	82	2787	19	0.576	0.022	0.366	3.5	7.9	5.7	14.4	1.3	0.5	11	25.2	6.2	0.8	7	0.121	2.2	-2	0.2	1.5	44	0
1986	Sam Perkins	24	80	2626	17.6	0.573	0.036	0.414	8.3	20.1	14.3	7.8	1.3	1.9	11.9	19	5	2.3	7.3	0.133	1.1	0.3	1.4	2.3	44	0
1986	Mark Aguirre	26	74	2501	19.2	0.547	0.042	0.34	7.9	11.6	9.8	20.9	1.2	0.3	14.2	29	3.7	0.9	4.7	0.09	3.1	-1.4	1.7	2.4	44	0
1986	James Donaldson	28	69	2241	13	0.628	0	0.491	7.2	25.1	16.3	4.6	0.5	2.6	15.7	9.9	3.2	2	5.2	0.11	-0.5	1.2	0.7	1.5	44	0
1986	Derek Harper	24	79	2150	18.8	0.58	0.07	0.314	3.9	7.6	5.8	26.3	3.3	0.6	14.8	18.5	4.5	1.7	6.2	0.138	2.8	-0.1	2.8	2.6	44	0
1986	Jay Vincent	26	80	1994	16.4	0.532	0.003	0.298	6	14.1	10.2	13	1.6	0.6	12.2	24.2	2.2	1.2	3.4	0.081	0.2	-1.1	-0.9	0.6	44	0
1986	Brad Davis	30	82	1971	16.9	0.634	0.177	0.454	1.5	6.6	4.1	30.3	1.4	0.4	15.4	14.7	5.7	0.5	6.2	0.152	2.2	-2.8	-0.6	0.7	44	0
1986	Dale Ellis	25	72	1086	13.5	0.502	0.368	0.174	8.9	8.1	8.5	4.6	1.7	0.4	7	20.4	1.2	0.4	1.6	0.071	1.2	-2.7	-1.5	0.1	44	0
