year	player	age	mp	per	ts	3par	ftr	orb	drb	trb	ast	stl	blk	tov	usg	column_s	ows	dws	ws	ws_48	obpm	dbpm	bpm	vorp	game_win	mvp_label
2017	Gerald Green	31	47	538	11.9	0.524	0.478	0.177	3.3	13.9	8.7	9.8	0.8	1.1	9.1	22.7	0.1	0.4	0.6	0.05	-2	-2.8	-4.7	-0.4	67	0
2017	Jae Crowder	26	72	2335	14.9	0.613	0.547	0.301	2.3	17.3	9.9	10.1	1.6	0.8	8.9	17	4.1	2.5	6.7	0.137	1.4	0.2	1.6	2.1	67	0
2017	Jaylen Brown	20	78	1341	10.3	0.539	0.319	0.293	3.8	14.4	9.1	7.2	1.3	1.1	12.5	18.1	0.2	1.3	1.5	0.053	-3.1	-0.9	-4	-0.7	67	0
2017	Avery Bradley	26	55	1835	14.4	0.548	0.357	0.12	4	16.2	10.1	11	1.8	0.5	9.7	21.9	1.1	2	3.1	0.081	-0.2	-0.4	-0.5	0.7	67	0
2017	Isaiah Whitehead	21	73	1643	7.6	0.487	0.293	0.222	2.1	9.7	5.9	17.7	1.2	1.7	20.3	18.2	-1.7	0.9	-0.8	-0.023	-4.3	-0.6	-4.9	-1.2	30	0
2017	Greivis Vasquez	30	3	39	4.1	0.376	0.375	0.375	0	5.4	2.7	17.5	1.2	1.9	9.7	11.3	0	0	0	-0.006	-5.7	-1.8	-7.5	-0.1	30	0
2017	Luis Scola	36	36	461	13.9	0.55	0.331	0.245	11.9	19.9	16	12.7	1.4	0.7	16.9	18.7	0.4	0.4	0.8	0.082	-0.8	-0.4	-1.1	0.1	30	0
2017	Brook Lopez	28	75	2222	20.4	0.578	0.33	0.311	5.8	13.3	9.6	14.8	0.8	4.2	12.1	29.2	3.1	1.8	4.9	0.105	1.9	-0.4	1.5	2	30	0
2017	Jeremy Lin	28	36	883	19.2	0.566	0.39	0.353	1.3	14.7	8.1	35.5	2.3	1.2	15.7	26.6	1.3	0.8	2.1	0.116	2.5	-0.4	2.2	0.9	30	0
2017	Caris LeVert	22	57	1237	12.3	0.556	0.484	0.245	2	13.9	8	13.7	1.9	0.5	12.3	16.6	0.8	1	1.8	0.07	-0.7	-0.4	-1.1	0.3	30	0
2017	Sean Kilpatrick	27	70	1754	13.1	0.546	0.419	0.329	1.3	15.4	8.4	14.6	1.2	0.3	13.8	23.8	0.4	1.1	1.4	0.04	-1.2	-1.8	-3	-0.4	30	0
2017	Rondae Hollis-Jefferson	22	78	1761	13.7	0.517	0.124	0.467	5.8	21.1	13.6	13.4	2.2	1.9	15.1	18.7	0.4	2.2	2.6	0.07	-2.9	1.9	-1	0.4	30	0
2017	Joe Harris	25	52	1138	9	0.558	0.61	0.135	1.5	12	6.8	7.3	1.2	0.5	12.5	16.5	0.1	0.6	0.8	0.032	-1.4	-1.5	-3	-0.3	30	0
2017	Justin Hamilton	26	64	1177	13.6	0.55	0.475	0.137	6.5	17	11.8	7.3	1.2	2.8	9.7	16.2	1	1	2.1	0.084	-0.9	0.2	-0.8	0.4	30	0
2017	Randy Foye	33	69	1284	7.3	0.506	0.625	0.194	0.8	11.9	6.4	15.2	1.3	0.5	18.5	14.4	-0.6	0.7	0.2	0.006	-3	-1	-3.9	-0.6	30	0
2017	Spencer Dinwiddie	23	59	1334	12.7	0.581	0.334	0.526	2.2	10.7	6.5	20.3	1.6	1.3	15.1	14.1	1.9	0.9	2.8	0.101	-0.7	-0.2	-0.9	0.4	30	0
2017	Trevor Booker	29	71	1754	15.7	0.554	0.132	0.186	8.7	25.5	17.2	12.9	2	1.2	16.6	18.7	1	2.2	3.1	0.086	-1.6	1.7	0.1	0.9	30	0
2017	Anthony Bennett	23	23	264	14.7	0.533	0.522	0.391	10.2	21	15.6	7.1	0.9	0.9	10	19.4	0.3	0.2	0.5	0.09	-0.8	-2.2	-3	-0.1	30	0
2017	Paul Zipser	22	44	843	6.9	0.503	0.448	0.181	1.9	14.2	8	6.1	0.9	1.5	14.4	14.4	-0.3	0.8	0.5	0.03	-3.6	-0.1	-3.7	-0.4	29	0
2017	Dwyane Wade	35	60	1792	18.5	0.508	0.152	0.294	3.8	12.6	8.1	22.3	2.4	1.8	11.3	29.6	0.9	2.5	3.4	0.09	0.4	0.6	1	1.3	29	0
2017	Denzel Valentine	23	57	976	7.3	0.492	0.722	0.063	1.2	15.6	8.3	9.3	1.5	0.6	14.2	15.4	-0.5	1.1	0.6	0.031	-2.4	-0.3	-2.7	-0.2	29	0
2017	Rajon Rondo	30	69	1843	13.6	0.461	0.237	0.089	4.2	16.6	10.4	37	2.7	0.5	22.5	17.8	-0.4	2.7	2.3	0.06	-1.3	1.6	0.3	1.1	29	0
2017	Bobby Portis	21	64	1000	14.9	0.545	0.256	0.157	8	24	16	5.7	0.8	0.9	8.4	19.1	1.1	1.2	2.4	0.114	-1.6	-1.5	-3	-0.3	29	0
2017	Nikola Mirotic	25	70	1679	14.5	0.546	0.603	0.205	3.9	20.9	12.3	6.9	1.6	2.6	10.5	19.8	1.2	2.5	3.8	0.107	-0.1	0.4	0.4	1	29	0
2017	Robin Lopez	28	81	2271	14.4	0.511	0.003	0.134	11.5	13.2	12.3	5.6	0.4	4.1	10	17.5	1.8	2.4	4.3	0.09	-1.9	1	-0.9	0.6	29	0
2017	R.J. Hunter	23	3	9	-3.2	0	1	0	0	12.1	6	0	0	0	0	4.8	0	0	0	-0.088	-9.4	-2	-11.4	0	29	0
2017	Jerian Grant	24	63	1028	13.2	0.555	0.445	0.243	1.8	9.9	5.8	17.4	2.3	0.6	11.7	16	1.4	1.2	2.5	0.119	0	-0.3	-0.3	0.4	29	0
2017	Cristiano Felicio	24	66	1040	15.3	0.603	0	0.421	12.8	19.5	16.1	5.7	1.2	1.3	11.2	12.4	2.1	1.3	3.4	0.158	-0.6	0.6	0	0.5	29	0
2017	Michael Carter-Williams	25	45	846	9.9	0.437	0.209	0.252	3	16.6	9.8	20	2.3	2.2	16.3	20.9	-1	1.3	0.2	0.013	-4.1	1.7	-2.4	-0.1	29	0
2017	Isaiah Canaan	25	39	592	8.1	0.483	0.543	0.191	1.1	8.1	4.6	9	1.9	0.1	10.1	15.4	0	0.6	0.5	0.042	-2.3	-1.1	-3.4	-0.2	29	0
2017	Jimmy Butler	27	76	2809	25.1	0.586	0.198	0.54	4.9	13.2	9	24.8	2.6	0.9	9.3	26.5	10.1	3.8	13.8	0.236	5.8	1.1	6.9	6.3	29	0
2017	Cody Zeller	24	62	1725	16.7	0.604	0.002	0.442	8.6	17.3	12.9	9.1	1.8	3	10.9	15.5	3.4	2.2	5.6	0.157	-0.2	2.3	2.1	1.8	44	0
2017	Christian Wood	21	13	107	15.1	0.591	0.217	0.652	14.3	15.5	14.9	2.8	1.4	4.9	19.1	15.4	0.1	0.1	0.3	0.125	-2.5	0.6	-2	0	44	0
2017	Marvin Williams	30	76	2295	13.7	0.551	0.503	0.213	4.2	19.8	12	7.1	1.3	2	7.2	16.3	2.4	2.6	5	0.105	-0.3	0.5	0.2	1.3	44	0
2017	Kemba Walker	26	79	2739	21.3	0.569	0.415	0.248	1.8	10.6	6.2	29.1	1.6	0.7	9.5	29.2	5.9	2.2	8.1	0.142	5.3	-1.7	3.6	3.9	44	0
2017	Mike Tobey	22	2	25	-0.1	0.25	0	0	8.7	4.4	6.6	5.4	0	0	20	9	0	0	0	-0.07	-7.4	-1.5	-8.9	0	44	0
2017	Ramon Sessions	30	50	811	12.4	0.495	0.236	0.449	1.5	8.5	4.9	24.2	1.7	0.3	12.7	20.1	0.3	0.6	0.9	0.055	-2.4	-2.2	-4.6	-0.5	44	0
2017	Brian Roberts	31	41	416	9.8	0.51	0.361	0.32	1.3	9	5.2	18.7	1.1	0.2	15.7	17.9	0	0.3	0.2	0.028	-3.3	-2.6	-5.9	-0.4	44	0
2017	Jeremy Lamb	24	62	1143	17	0.55	0.297	0.263	2.9	22.6	12.7	11.3	1.2	1.8	6.8	23.2	1.4	1.3	2.7	0.115	-0.8	-0.9	-1.7	0.1	44	0
2017	Michael Kidd-Gilchrist	23	81	2349	14.3	0.528	0.015	0.314	7.3	19.3	13.2	7.4	1.7	2.9	7.4	14.6	2.7	3.1	5.8	0.119	-2	2.2	0.2	1.3	44	0
2017	Frank Kaminsky	23	75	1954	13	0.502	0.441	0.195	3.2	15.8	9.5	13.5	1.2	1.5	8	21.8	0.4	1.9	2.3	0.056	-0.8	-0.8	-1.5	0.2	44	0
2017	Aaron Harrison	22	5	17	-2.2	0.102	0.5	0.5	0	19.5	9.7	22.6	0	0	0	12.9	-0.1	0	-0.1	-0.146	-9.6	-2.1	-11.6	0	44	0
2017	Treveon Graham	23	27	189	10.6	0.612	0.375	0.375	2.9	10	6.4	4.7	1.6	0.5	6	11.8	0.3	0.2	0.4	0.108	-1.5	-1.3	-2.8	0	44	0
2017	Marco Belinelli	30	74	1778	13.3	0.566	0.46	0.273	0.9	10.2	5.5	13.1	1.2	0.4	9.2	19.2	2	1.2	3.2	0.087	0.1	-2	-1.9	0.1	44	0
2017	Nicolas Batum	28	77	2617	15.8	0.529	0.415	0.291	1.9	18.4	10.1	27.7	1.6	1	15	22.3	1.7	2.8	4.6	0.084	0.7	0.6	1.2	2.1	44	0
2017	Tristan Thompson	25	78	2336	15.3	0.594	0.007	0.487	13.9	19.6	16.9	4.6	0.8	2.9	10.8	11.3	5	2.3	7.3	0.149	0	1.5	1.5	2	47	0
2017	J.R. Smith	31	41	1187	8.1	0.484	0.761	0.042	1.6	8.6	5.2	7.3	1.7	0.7	6.7	14.6	0.1	0.8	0.8	0.034	-0.5	-0.7	-1.3	0.2	47	0
2017	Iman Shumpert	26	76	1937	9	0.536	0.534	0.184	2.3	9.9	6.2	7.8	1.6	1.1	12.9	14	0.7	1.4	2	0.05	-1.3	0	-1.3	0.3	47	0
2017	Larry Sanders	28	5	13	6.5	0.41	0	0.5	26.3	8.2	17	0	3.8	6.2	29.1	23.6	0	0	0	-0.029	-8.7	-0.9	-9.6	0	47	0
2017	Jordan McRae	25	37	384	9.7	0.488	0.34	0.227	1.8	9.7	5.9	7.4	1	1.3	7.8	20.8	-0.1	0.2	0.2	0.02	-3.7	-2.8	-6.5	-0.4	47	0
2017	Kevin Love	28	60	1885	21.1	0.573	0.449	0.34	8.9	29.3	19.5	9.8	1.4	0.9	10.9	26.4	4	2.4	6.4	0.163	1.7	-0.9	0.8	1.3	47	0
2017	James Jones	36	48	381	11.1	0.655	0.717	0.217	0.9	9.5	5.4	5.2	0.8	2.1	9	13	0.6	0.2	0.8	0.102	0	-1.6	-1.6	0	47	0
2017	Dahntay Jones	36	1	12	14.7	0.461	0.25	0.5	9.5	8.9	9.2	14.5	0	0	9.3	39.9	0	0	0	-0.03	-3.8	-7.1	-10.9	0	47	0
2017	Richard Jefferson	36	79	1614	8.3	0.574	0.542	0.315	2	11.6	6.9	6.6	0.8	0.5	11.8	12.2	1.3	0.8	2.1	0.063	-1.4	-1	-2.4	-0.2	47	0
2017	LeBron James	32	74	2794	27	0.619	0.254	0.395	4	20.7	12.6	41.3	1.6	1.3	16.1	30	9.8	3	12.9	0.221	6.8	1.6	8.4	7.3	47	0
2017	Kyrie Irving	24	72	2525	23	0.58	0.311	0.231	2.3	7.5	5	29.7	1.6	0.8	10.3	30.8	7.4	1.5	8.9	0.17	4.8	-2.3	2.5	2.9	47	0
2017	Channing Frye	33	74	1398	15.6	0.612	0.644	0.142	3	19.3	11.4	4.9	1.2	2.1	8.8	19.3	2.3	1.4	3.7	0.125	0.8	-1.5	-0.6	0.5	47	0
2017	Kay Felder	21	42	386	11.4	0.462	0.139	0.31	0.9	10.5	5.9	22.7	2.3	1.5	14.3	24.2	-0.3	0.4	0.1	0.008	-4.8	-1.2	-6	-0.4	47	0
2017	Chris Andersen	38	12	114	11.6	0.497	0.136	0.636	9	20.6	15	5.9	2.2	5	15.1	13	0.1	0.2	0.2	0.102	-3.8	3	-0.9	0	47	0
2017	Jarrod Uthoff	23	9	115	13.9	0.487	0.237	0.184	7.7	14.9	11.1	12.8	0.9	3.1	6.8	18.1	0.1	0.1	0.2	0.083	-2.1	0.7	-1.4	0	46	0
2017	Dwight Powell	25	77	1333	17.6	0.588	0.196	0.374	7.7	19.5	13.3	6.1	2.4	2.6	7.2	16.7	2.7	1.9	4.6	0.165	-0.5	1.9	1.4	1.2	46	0
2017	Dirk Nowitzki	38	54	1424	17	0.529	0.308	0.165	1.8	28.3	14.4	10.6	1.1	2.4	6.6	25.8	0.6	1.9	2.5	0.084	-1.6	0.3	-1.3	0.2	46	0
2017	Salah Mejri	30	73	905	14.8	0.65	0.022	0.445	11.9	28.4	19.8	2.4	1.8	6.1	19.6	10.6	1.3	1.7	3	0.159	-3.6	3.8	0.2	0.5	46	0
2017	Wesley Matthews	30	73	2495	11.9	0.533	0.566	0.211	0.8	11.8	6	13.6	1.6	0.5	9.9	19.4	1	2.1	3.1	0.06	0.2	-0.1	0.1	1.3	46	0
2017	Pierre Jackson	25	8	84	13	0.416	0.282	0.179	1.3	11.6	6.2	38	1.2	0	6.7	25.3	0	0.1	0	0.021	-1.7	-2.7	-4.4	-0.1	46	0
2017	Manny Harris	27	4	25	-2.2	0.239	0.133	0.267	13.3	29.3	20.9	12.7	0	0	10.7	35.4	-0.2	0	-0.2	-0.364	-15.1	-3.8	-18.8	-0.1	46	0
2017	Devin Harris	33	65	1087	13.8	0.549	0.519	0.378	1.1	13	6.8	20	2.1	0.6	12.5	19.7	1.1	1.1	2.2	0.096	-0.1	-0.3	-0.4	0.4	46	0
2017	A.J. Hammons	24	22	163	8.4	0.472	0.238	0.476	5.4	21	12.8	3.8	0.3	7.2	16.4	17.6	-0.2	0.2	0	-0.001	-7.5	2	-5.6	-0.1	46	0
2017	Jonathan Gibson	29	17	231	9.5	0.492	0.474	0.305	0.5	11.1	5.5	18.8	1.8	0	16.3	26.3	-0.3	0.2	-0.1	-0.03	-3.3	-2.2	-5.5	-0.2	46	0
2017	Dorian Finney-Smith	23	81	1642	7.7	0.486	0.574	0.183	3.7	12.4	7.9	6	1.6	1.4	11.1	11.6	-0.1	1.5	1.4	0.041	-2.8	1.3	-1.4	0.2	46	0
2017	Seth Curry	26	70	2029	15.5	0.601	0.458	0.142	1.4	9.3	5.1	16	2	0.3	11	19.5	2.9	1.7	4.6	0.11	1.8	-0.4	1.4	1.7	46	0
2017	Nicolas Brussino	23	54	521	10.7	0.498	0.674	0.156	5.5	16.2	10.6	13.9	1.7	1.4	14.7	16	0	0.6	0.6	0.055	-1.7	0.7	-1	0.1	46	0
2017	Ben Bentil	21	3	10	-17.6	0	0.333	0	0	24.4	11.6	0	0	0	25	18.9	-0.1	0	-0.1	-0.473	-22.4	-4.5	-26.9	-0.1	46	0
2017	Harrison Barnes	24	79	2803	16.3	0.541	0.173	0.22	3.7	13.1	8.2	7.7	1.2	0.5	6.8	25.3	2.5	2.1	4.6	0.078	-0.7	-1.2	-1.9	0.1	46	0
2017	J.J. Barea	32	35	771	17.2	0.521	0.431	0.149	1.3	11.9	6.3	44.2	0.9	0.1	14.7	26.2	0.8	0.5	1.3	0.08	2	-2.6	-0.5	0.3	46	0
2017	Jarnell Stokes	23	2	7	31.5	0.798	0	2	15.9	15.6	15.8	40.1	7	0	0	11.4	0.1	0	0.1	0.48	11.8	3.6	15.4	0	30	0
2017	Jameer Nelson	34	75	2045	11.5	0.544	0.452	0.104	1.5	8.8	5.2	26	1.3	0.3	16.8	15.8	2.3	0.5	2.8	0.066	0.4	-2.3	-2	0	30	0
2017	Jamal Murray	19	82	1764	11.9	0.518	0.471	0.164	2.6	10.7	6.7	14	1.4	1.1	12.6	21.6	0.6	0.7	1.3	0.037	-0.5	-2.1	-2.6	-0.3	30	0
2017	Emmanuel Mudiay	20	55	1406	10.9	0.483	0.323	0.303	2.3	11.6	7	21.8	1.4	0.7	16.5	22.6	-0.4	0.5	0.2	0.006	-2	-1.7	-3.7	-0.6	30	0
2017	Mike Miller	36	20	151	7.6	0.586	0.87	0.087	1.5	26.1	13.9	18.3	0.6	0	35.2	10.4	0	0.1	0.1	0.018	-3.2	-0.8	-4.1	-0.1	30	0
2017	Nikola Jokic	21	73	2038	26.3	0.64	0.163	0.267	11.6	27.2	19.5	28.8	1.5	2.1	15.2	23.5	7.7	2	9.7	0.228	6.2	2.2	8.4	5.3	30	0
2017	Juan Hernangomez	21	62	842	13.4	0.592	0.504	0.339	5.7	18.7	12.3	4.7	1.7	1.1	10.7	14.6	1.2	0.6	1.8	0.104	-0.1	-1.2	-1.3	0.1	30	0
2017	Gary Harris	22	57	1782	16.5	0.611	0.4	0.21	3	8	5.5	13.6	1.9	0.3	9.8	18.4	3.9	0.7	4.6	0.124	3.1	-1.6	1.5	1.6	30	0
2017	Alonzo Gee	29	13	89	3.1	0.306	0.214	0.643	5	13.5	9.3	8.2	2.7	0.9	18.2	10.5	-0.1	0.1	-0.1	-0.032	-5.6	1	-4.6	-0.1	30	0
2017	Danilo Gallinari	28	63	2134	17.4	0.622	0.432	0.516	2	14.7	8.4	9.1	0.9	0.5	8.2	20	6.2	0.7	6.8	0.154	2.9	-2.1	0.8	1.5	30	0
2017	Kenneth Faried	27	61	1296	20.3	0.588	0.014	0.454	15.8	23.6	19.7	6.3	1.6	2.4	10.6	18.3	3.3	1.2	4.5	0.168	0.9	-0.1	0.8	0.9	30	0
2017	Wilson Chandler	29	71	2197	14.9	0.545	0.347	0.207	5.2	17.8	11.6	9.8	1.1	1.1	10	22	2.4	1.1	3.5	0.077	0.5	-1.4	-0.9	0.6	30	0
2017	Malik Beasley	20	22	165	13.7	0.536	0.384	0.137	3.4	8	5.7	10.2	2.1	0	9.4	22	0.1	0.1	0.2	0.057	-0.5	-3.5	-3.9	-0.1	30	0
2017	Will Barton	26	60	1705	15.5	0.547	0.353	0.285	3.8	12.9	8.4	17.7	1.4	1.3	11.5	21.1	2.5	0.8	3.3	0.093	1.3	-1	0.3	1	30	0
2017	Darrell Arthur	28	41	639	12.8	0.583	0.544	0.102	4.4	14.9	9.7	9.3	1.5	2.5	13.8	17.3	0.6	0.4	1.1	0.081	0.3	-0.6	-0.3	0.3	30	0
2017	Beno Udrih	34	39	560	16.2	0.535	0.162	0.173	1.1	10.3	5.6	35.4	1.2	0	14.5	19.6	0.8	0.5	1.3	0.113	-0.5	-2.1	-2.5	-0.1	51	0
2017	Ish Smith	28	81	1955	14.7	0.477	0.14	0.136	1.1	12.4	6.6	32.5	1.6	1.4	12.4	20.5	0.9	2.2	3.1	0.076	-1.2	0.4	-0.8	0.6	51	0
2017	Marcus Morris	27	79	2565	12.4	0.508	0.355	0.184	3.2	12.8	7.8	9.4	1	0.8	7.4	20.3	1.4	2.4	3.9	0.072	-0.3	-0.2	-0.5	1	51	0
2017	Boban Marjanovic	28	35	293	29.6	0.606	0	0.439	16.5	32.5	24.2	5.3	1	3.4	6	25.3	1.2	0.5	1.7	0.28	1	-0.9	0.1	0.2	51	0
2017	Jon Leuer	27	75	1944	14.2	0.551	0.259	0.175	5.5	17.5	11.3	8.6	0.8	1.1	8.7	17.3	2.5	2	4.5	0.112	-0.4	0.5	0.1	1	51	0
2017	Stanley Johnson	20	77	1371	7.2	0.436	0.422	0.145	2.8	12.7	7.5	10.5	2.1	1.5	15.5	14.8	-1.4	1.8	0.4	0.012	-3.8	1.8	-2	0	51	0
2017	Reggie Jackson	26	52	1424	14.9	0.51	0.272	0.201	1.5	7.4	4.4	30.3	1.2	0.3	13.4	26.4	0.8	1.2	1.9	0.065	0.6	-2	-1.4	0.2	51	0
2017	Darrun Hilliard	23	39	381	5.9	0.459	0.365	0.222	0.6	9.2	4.7	12.3	1.5	0.4	16.8	19.3	-0.6	0.4	-0.2	-0.027	-5	-1.1	-6.1	-0.4	51	0
2017	Tobias Harris	24	82	2567	16.9	0.568	0.295	0.213	2.6	15.6	8.8	8.8	1.2	1.3	7.6	21.7	4	2.8	6.8	0.128	1	0.1	1.2	2	51	0
2017	Michael Gbinije	24	9	32	-2.1	0.184	0.4	0.2	6.6	3.5	5.1	7.9	0	0	0	15	-0.1	0	-0.1	-0.136	-7.7	-2.8	-10.5	-0.1	51	0
2017	Henry Ellenson	20	19	146	7.5	0.444	0.547	0.125	5.8	25.6	15.3	7.2	0.3	0.6	17.2	24.7	-0.4	0.2	-0.2	-0.071	-5.8	-2.4	-8.2	-0.2	51	0
2017	Andre Drummond	23	81	2409	20.9	0.518	0.008	0.39	15.1	36.2	25.2	6	2.6	3.1	12.5	22.4	1.4	5.3	6.7	0.133	-2.1	2.9	0.9	1.8	51	0
2017	Kentavious Caldwell-Pope	23	76	2529	12.8	0.519	0.471	0.199	2.3	8.7	5.3	11.2	1.8	0.4	7.9	19.2	2	2.5	4.5	0.086	0.9	0	0.9	1.8	51	0
2017	Reggie Bullock	25	31	467	11.7	0.538	0.57	0.055	2.9	12.4	7.5	8.8	1.9	0.5	7.1	13.4	0.4	0.5	1	0.101	-0.4	0.5	0.1	0.2	51	0
2017	Aron Baynes	30	75	1163	13.1	0.57	0	0.337	10	21.6	15.6	3.9	0.7	2.8	13.5	14.1	1.4	1.5	3	0.123	-2.9	1.1	-1.8	0.1	51	0
2017	David West	36	68	854	16.6	0.571	0.032	0.222	6.5	18.8	13	24.1	2.4	4.4	22	17.9	0.9	1.7	2.6	0.148	-1.7	3.9	2.2	0.9	26	0
2017	Anderson Varejao	34	14	92	9.4	0.478	0	0.786	15.3	16.8	16.1	13	1.6	2.6	29.8	12.6	0	0.1	0.2	0.097	-3.2	2.5	-0.6	0	26	0
2017	Klay Thompson	26	78	2649	17.4	0.592	0.47	0.158	2.2	9.2	5.9	9.3	1.2	1.2	8	26.1	4.2	2.9	7.1	0.129	2.4	-2.1	0.3	1.5	26	0
2017	Zaza Pachulia	32	70	1268	16.1	0.588	0.007	0.41	12.9	22	17.7	13.6	2.2	2	19.4	15.3	2.3	2.5	4.7	0.178	-0.3	3	2.7	1.5	26	0
2017	JaVale McGee	29	77	739	25.2	0.642	0.009	0.348	15.9	20.1	18.1	3.8	1.2	7.1	9.8	23.8	2	1.5	3.5	0.225	0.2	0.5	0.8	0.5	26	0
2017	Patrick McCaw	21	71	1074	8.6	0.54	0.502	0.151	2.3	7.6	5.1	9	1.4	1.1	12.1	11.9	0.5	1.2	1.7	0.077	-1.6	-0.2	-1.8	0.1	26	0
