,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
469,87-88,20.00%,25.34%,拉里-伯德,76,75,39.0,52.7%,11.6,22.0,41.4%,1.3,3.1,91.6%,5.5,6.0,9.3,1.4,7.8,6.1,1.6,0.8,2.8,2.1,29.9
470,87-88,20.00%,24.42%,埃尔文-约翰逊,72,70,36.6,49.2%,6.8,13.8,19.6%,0.2,0.8,85.3%,5.8,6.8,6.2,1.2,5.0,11.9,1.6,0.2,3.7,2.0,19.6
471,87-88,01.25%,05.24%,查尔斯-巴克利,80,80,39.6,58.7%,9.4,16.0,28.0%,0.6,2.0,75.1%,8.9,11.9,11.9,4.8,7.1,3.2,1.3,1.3,3.8,3.5,28.3
472,87-88,00.00%,04.13%,克莱德-德雷克斯勒,81,80,37.8,50.6%,10.5,20.7,21.2%,0.1,0.6,81.1%,5.9,7.2,6.6,3.2,3.4,5.8,2.5,0.6,2.9,3.1,27.0
473,87-88,00.00%,02.64%,多米尼克-威尔金斯,78,76,37.8,46.4%,11.7,25.1,29.5%,0.5,1.7,82.6%,6.9,8.4,6.4,2.7,3.7,2.9,1.3,0.6,2.8,2.1,30.7
474,87-88,00.00%,01.92%,哈基姆-奥拉朱旺,79,79,35.8,51.4%,9.0,17.5,0.0%,0.0,0.1,69.5%,4.8,6.9,12.1,3.8,8.3,2.1,2.1,2.7,3.1,4.1,22.8
475,87-88,00.00%,01.73%,卡尔-马龙,82,82,39.0,52.0%,10.5,20.1,0.0%,0.0,0.1,70.0%,6.7,9.6,12.0,3.4,8.6,2.4,1.4,0.6,4.0,3.6,27.7
476,87-88,00.00%,01.25%,法特-利夫,82,82,37.3,47.3%,7.8,16.6,21.1%,0.1,0.7,78.5%,3.0,3.9,8.1,2.5,5.6,7.8,2.7,0.3,2.2,2.6,18.9
477,87-88,00.00%,00.72%,约翰-斯托克顿,82,79,34.7,57.4%,5.5,9.6,35.8%,0.3,0.8,84.0%,3.3,4.0,2.9,0.7,2.2,13.8,3.0,0.2,3.2,3.0,14.7
478,87-88,00.00%,00.19%,阿历克斯-英格利什,80,80,35.2,49.5%,10.5,21.3,0.0%,0.0,0.1,82.8%,3.9,4.7,4.7,2.1,2.6,4.7,0.9,0.3,2.3,2.4,25.0
479,87-88,00.00%,00.14%,伊塞亚-托马斯,81,81,36.1,46.3%,7.7,16.6,30.9%,0.4,1.2,77.4%,3.8,4.9,3.4,0.8,2.6,8.4,1.7,0.2,3.4,2.7,19.5
480,87-88,00.00%,00.10%,马克-杰克逊,82,80,39.6,43.2%,5.3,12.4,25.4%,0.4,1.5,77.4%,2.5,3.2,4.8,1.5,3.4,10.6,2.5,0.1,3.1,3.0,13.6
481,87-88,00.00%,00.05%,迈克尔-亚当斯,82,75,33.9,44.9%,5.1,11.3,36.7%,1.7,4.6,83.4%,2.0,2.4,2.7,0.5,2.2,6.1,2.0,0.2,1.8,1.7,13.9
482,87-88,00.00%,00.05%,马克-阿吉雷,77,77,33.9,47.5%,9.7,20.4,30.2%,0.7,2.2,77.0%,5.0,6.5,5.6,2.4,3.3,3.6,0.9,0.7,2.6,2.9,25.1
483,87-88,00.00%,00.05%,阿德里安-丹特利,69,50,31.1,51.4%,6.4,12.5,0.0%,0.0,0.0,86.0%,7.1,8.3,3.3,1.2,2.1,2.5,0.6,0.1,2.0,2.1,20.0
484,87-88,00.00%,00.05%,巴克-威廉姆斯,70,70,37.7,56.0%,6.7,11.9,100.0%,0.0,0.0,66.8%,4.9,7.4,11.9,4.3,7.7,1.6,1.0,0.6,2.7,3.8,18.3
485,86-87,85.53%,36.14%,埃尔文-约翰逊,80,80,36.3,52.2%,8.5,16.4,20.5%,0.1,0.5,84.8%,6.7,7.9,6.3,1.5,4.8,12.2,1.7,0.5,3.8,2.1,23.9
486,86-87,13.16%,22.14%,迈克尔-乔丹,82,82,40.0,48.2%,13.4,27.8,18.2%,0.1,0.8,85.7%,10.2,11.9,5.2,2.0,3.2,4.6,2.9,1.5,3.3,2.9,37.1
487,86-87,01.32%,13.36%,拉里-伯德,74,73,40.6,52.5%,10.6,20.2,40.0%,1.2,3.0,91.0%,5.6,6.1,9.2,1.7,7.5,7.6,1.8,0.9,3.2,2.5,28.1
488,86-87,00.00%,12.52%,凯文-麦克海尔,77,77,39.7,60.4%,10.3,17.0,0.0%,0.0,0.1,83.6%,5.6,6.6,9.9,3.2,6.7,2.6,0.5,2.2,2.6,3.1,26.1
489,86-87,00.00%,06.31%,多米尼克-威尔金斯,79,79,37.6,46.3%,10.5,22.6,29.2%,0.4,1.3,81.8%,7.7,9.4,6.3,2.7,3.6,3.3,1.5,0.6,2.7,1.9,29.0
490,86-87,00.00%,05.57%,查尔斯-巴克利,68,62,40.3,59.4%,8.2,13.8,20.2%,0.3,1.5,76.1%,6.3,8.3,14.6,5.7,8.9,4.9,1.8,1.5,4.7,3.7,23.0
491,86-87,00.00%,01.38%,哈基姆-奥拉朱旺,75,75,36.8,50.8%,9.0,17.8,20.0%,0.0,0.1,70.2%,5.3,7.6,11.4,4.2,7.2,2.9,1.9,3.4,3.0,3.9,23.4
492,86-87,00.00%,00.84%,伊塞亚-托马斯,81,81,37.2,46.3%,7.7,16.7,19.4%,0.2,1.2,76.8%,4.9,6.4,3.9,1.0,2.9,10.0,1.9,0.2,4.2,3.1,20.6
493,86-87,00.00%,00.54%,法特-利夫,82,82,37.2,46.9%,7.8,16.7,23.9%,0.3,1.1,78.2%,3.0,3.8,8.9,2.6,6.3,8.0,2.5,0.4,2.0,2.7,18.9
494,86-87,00.00%,00.44%,摩西-马龙,73,70,34.1,45.4%,8.2,18.0,0.0%,0.0,0.2,82.4%,7.8,9.5,11.3,4.7,6.6,1.6,0.8,1.3,2.8,1.9,24.1
495,86-87,00.00%,00.20%,史蒂夫-约翰逊,79,74,29.7,55.6%,6.3,11.3, ,0.0,0.0,69.8%,4.3,6.2,7.2,2.5,4.7,2.0,0.6,1.0,3.5,4.3,16.8
496,86-87,00.00%,00.15%,卡尔-马龙,82,82,34.8,51.2%,8.9,17.3,0.0%,0.0,0.1,59.8%,3.9,6.6,10.4,3.4,7.0,1.9,1.3,0.7,2.9,3.9,21.7
